,Unnamed: 0,price,Converted,Under_30,Sex
0,0,50.0,1.0,1.0,1.0
1,1,50.0,1.0,0.0,0.0
2,2,50.0,0.0,0.0,1.0
3,3,50.0,1.0,1.0,1.0
4,4,50.0,0.0,1.0,1.0
5,5,50.0,0.0,1.0,0.0
6,6,50.0,1.0,0.0,0.0
7,7,50.0,0.0,0.0,1.0
8,8,50.0,1.0,1.0,1.0
9,9,50.0,1.0,1.0,1.0
10,10,50.0,0.0,0.0,0.0
11,11,50.0,0.0,0.0,0.0
12,12,50.0,1.0,1.0,1.0
13,13,50.0,1.0,1.0,0.0
14,14,50.0,0.0,0.0,1.0
15,15,50.0,1.0,1.0,1.0
16,16,50.0,0.0,1.0,0.0
17,17,50.0,0.0,1.0,1.0
18,18,50.0,0.0,1.0,1.0
19,19,50.0,1.0,0.0,1.0
20,20,50.0,1.0,0.0,1.0
21,21,50.0,0.0,0.0,0.0
22,22,50.0,1.0,1.0,1.0
23,23,50.0,0.0,1.0,1.0
24,24,50.0,0.0,1.0,0.0
25,25,50.0,0.0,1.0,0.0
26,26,50.0,0.0,0.0,0.0
27,27,50.0,1.0,1.0,1.0
28,28,50.0,1.0,1.0,1.0
29,29,50.0,1.0,1.0,0.0
30,30,50.0,0.0,1.0,0.0
31,31,50.0,0.0,1.0,0.0
32,32,50.0,1.0,0.0,1.0
33,33,50.0,1.0,0.0,1.0
34,34,50.0,1.0,0.0,1.0
35,35,50.0,1.0,0.0,0.0
36,36,50.0,0.0,1.0,0.0
37,37,50.0,0.0,1.0,0.0
38,38,50.0,0.0,1.0,0.0
39,39,50.0,0.0,0.0,1.0
40,40,50.0,1.0,0.0,1.0
41,41,50.0,1.0,0.0,1.0
42,42,50.0,0.0,0.0,0.0
43,43,50.0,1.0,1.0,1.0
44,44,50.0,0.0,0.0,1.0
45,45,50.0,1.0,0.0,0.0
46,46,50.0,0.0,1.0,1.0
47,47,50.0,0.0,1.0,1.0
48,48,50.0,1.0,0.0,1.0
49,49,50.0,0.0,0.0,0.0
50,50,50.0,0.0,1.0,0.0
51,51,50.0,0.0,0.0,1.0
52,52,50.0,1.0,0.0,1.0
53,53,50.0,0.0,0.0,0.0
54,54,50.0,0.0,1.0,0.0
55,55,50.0,1.0,0.0,1.0
56,56,50.0,0.0,1.0,0.0
57,57,50.0,1.0,0.0,1.0
58,58,50.0,1.0,1.0,1.0
59,59,50.0,1.0,0.0,1.0
60,60,50.0,1.0,1.0,0.0
61,61,50.0,0.0,1.0,0.0
62,62,50.0,0.0,0.0,1.0
63,63,50.0,1.0,0.0,1.0
64,64,50.0,1.0,1.0,1.0
65,65,50.0,0.0,1.0,1.0
66,66,50.0,0.0,0.0,1.0
67,67,50.0,0.0,0.0,0.0
68,68,50.0,0.0,0.0,1.0
69,69,50.0,0.0,0.0,0.0
70,70,50.0,1.0,1.0,1.0
71,71,50.0,0.0,0.0,1.0
72,72,50.0,1.0,0.0,0.0
73,73,50.0,1.0,0.0,0.0
74,74,50.0,1.0,1.0,0.0
75,75,50.0,1.0,0.0,1.0
76,76,50.0,1.0,0.0,1.0
77,77,50.0,1.0,0.0,0.0
78,78,50.0,0.0,1.0,0.0
79,79,50.0,0.0,0.0,0.0
80,80,50.0,1.0,1.0,1.0
81,81,50.0,0.0,0.0,0.0
82,82,50.0,1.0,1.0,1.0
83,83,50.0,0.0,0.0,1.0
84,84,50.0,0.0,1.0,0.0
85,85,50.0,1.0,0.0,0.0
86,86,50.0,0.0,0.0,1.0
87,87,50.0,0.0,0.0,1.0
88,88,50.0,1.0,1.0,1.0
89,89,50.0,1.0,1.0,1.0
90,90,50.0,0.0,1.0,0.0
91,91,50.0,1.0,1.0,1.0
92,92,50.0,0.0,0.0,0.0
93,93,50.0,0.0,0.0,0.0
94,94,50.0,0.0,1.0,0.0
95,95,50.0,1.0,1.0,1.0
96,96,50.0,0.0,0.0,0.0
97,97,50.0,0.0,1.0,1.0
98,98,50.0,0.0,0.0,0.0
99,99,50.0,1.0,1.0,0.0
100,100,50.0,0.0,0.0,1.0
101,101,50.0,0.0,1.0,1.0
102,102,50.0,1.0,1.0,1.0
103,103,50.0,1.0,0.0,0.0
104,104,50.0,0.0,1.0,0.0
105,105,50.0,0.0,0.0,1.0
106,106,50.0,0.0,0.0,1.0
107,107,50.0,1.0,1.0,1.0
108,108,50.0,1.0,1.0,0.0
109,109,50.0,0.0,0.0,1.0
110,110,50.0,1.0,1.0,1.0
111,111,50.0,1.0,1.0,1.0
112,112,50.0,0.0,1.0,1.0
113,113,50.0,0.0,1.0,0.0
114,114,50.0,0.0,1.0,1.0
115,115,50.0,0.0,1.0,1.0
116,116,50.0,1.0,1.0,1.0
117,117,50.0,1.0,1.0,1.0
118,118,50.0,1.0,0.0,1.0
119,119,50.0,1.0,0.0,1.0
120,120,50.0,0.0,1.0,1.0
121,121,50.0,0.0,0.0,0.0
122,122,50.0,0.0,1.0,0.0
123,123,50.0,1.0,0.0,1.0
124,124,50.0,1.0,1.0,1.0
125,125,50.0,0.0,0.0,0.0
126,126,50.0,0.0,1.0,1.0
127,127,50.0,1.0,1.0,1.0
128,128,50.0,0.0,0.0,0.0
129,129,50.0,1.0,1.0,1.0
130,130,50.0,0.0,0.0,0.0
131,131,50.0,0.0,0.0,0.0
132,132,50.0,1.0,1.0,1.0
133,133,50.0,0.0,1.0,1.0
134,134,50.0,0.0,1.0,1.0
135,135,50.0,1.0,1.0,1.0
136,136,50.0,0.0,0.0,0.0
137,137,50.0,0.0,1.0,0.0
138,138,50.0,0.0,1.0,1.0
139,139,50.0,1.0,1.0,1.0
140,140,50.0,1.0,1.0,1.0
141,141,50.0,1.0,0.0,1.0
142,142,50.0,0.0,1.0,1.0
143,143,50.0,1.0,0.0,1.0
144,144,50.0,0.0,1.0,1.0
145,145,50.0,1.0,0.0,1.0
146,146,50.0,1.0,0.0,0.0
147,147,50.0,0.0,1.0,1.0
148,148,50.0,0.0,0.0,1.0
149,149,50.0,1.0,1.0,1.0
150,150,50.0,0.0,1.0,1.0
151,151,50.0,0.0,0.0,1.0
152,152,50.0,0.0,0.0,1.0
153,153,50.0,0.0,1.0,0.0
154,154,50.0,1.0,1.0,1.0
155,155,50.0,1.0,1.0,1.0
156,156,50.0,1.0,0.0,1.0
157,157,50.0,0.0,0.0,0.0
158,158,50.0,0.0,1.0,1.0
159,159,50.0,1.0,1.0,0.0
160,160,50.0,0.0,1.0,1.0
161,161,50.0,0.0,1.0,0.0
162,162,50.0,0.0,0.0,1.0
163,163,50.0,0.0,1.0,0.0
164,164,50.0,0.0,0.0,0.0
165,165,50.0,1.0,1.0,1.0
166,166,50.0,1.0,1.0,1.0
167,167,50.0,1.0,1.0,1.0
168,168,50.0,0.0,1.0,1.0
169,169,50.0,0.0,1.0,1.0
170,170,50.0,0.0,0.0,0.0
171,171,50.0,1.0,1.0,1.0
172,172,50.0,0.0,1.0,0.0
173,173,50.0,0.0,0.0,1.0
174,174,50.0,1.0,1.0,1.0
175,175,50.0,0.0,1.0,1.0
176,176,50.0,1.0,1.0,1.0
177,177,50.0,1.0,1.0,1.0
178,178,50.0,0.0,0.0,0.0
179,179,50.0,1.0,0.0,0.0
180,180,50.0,0.0,0.0,1.0
181,181,50.0,1.0,0.0,1.0
182,182,50.0,0.0,0.0,0.0
183,183,50.0,1.0,1.0,0.0
184,184,50.0,1.0,0.0,1.0
185,185,50.0,0.0,0.0,1.0
186,186,50.0,1.0,1.0,1.0
187,187,50.0,0.0,0.0,0.0
188,188,50.0,0.0,0.0,1.0
189,189,50.0,1.0,1.0,0.0
190,190,50.0,0.0,1.0,1.0
191,191,50.0,0.0,1.0,0.0
192,192,50.0,0.0,0.0,1.0
193,193,50.0,1.0,0.0,1.0
194,194,50.0,1.0,0.0,1.0
195,195,50.0,1.0,1.0,1.0
196,196,50.0,0.0,0.0,1.0
197,197,50.0,1.0,1.0,0.0
198,198,50.0,0.0,0.0,0.0
199,199,50.0,0.0,1.0,0.0
200,200,50.0,1.0,0.0,1.0
201,201,50.0,0.0,0.0,0.0
202,202,50.0,0.0,1.0,1.0
203,203,50.0,1.0,1.0,0.0
204,204,50.0,0.0,0.0,1.0
205,205,50.0,0.0,1.0,0.0
206,206,50.0,0.0,0.0,1.0
207,207,50.0,0.0,0.0,0.0
208,208,50.0,0.0,0.0,0.0
209,209,50.0,0.0,1.0,0.0
210,210,50.0,0.0,0.0,0.0
211,211,50.0,0.0,0.0,0.0
212,212,50.0,0.0,1.0,0.0
213,213,50.0,1.0,1.0,0.0
214,214,50.0,0.0,1.0,0.0
215,215,50.0,1.0,1.0,1.0
216,216,50.0,0.0,0.0,0.0
217,217,50.0,0.0,1.0,0.0
218,218,50.0,1.0,1.0,1.0
219,219,50.0,0.0,1.0,0.0
220,220,50.0,1.0,0.0,1.0
221,221,50.0,1.0,0.0,0.0
222,222,50.0,0.0,0.0,0.0
223,223,50.0,0.0,1.0,1.0
224,224,50.0,0.0,0.0,1.0
225,225,50.0,0.0,0.0,0.0
226,226,50.0,0.0,1.0,0.0
227,227,50.0,0.0,1.0,0.0
228,228,50.0,1.0,0.0,0.0
229,229,50.0,1.0,1.0,1.0
230,230,50.0,0.0,0.0,0.0
231,231,50.0,0.0,1.0,1.0
232,232,50.0,0.0,0.0,0.0
233,233,50.0,1.0,1.0,1.0
234,234,50.0,1.0,0.0,1.0
235,235,50.0,0.0,0.0,0.0
236,236,50.0,0.0,0.0,1.0
237,237,50.0,0.0,0.0,0.0
238,238,50.0,0.0,0.0,1.0
239,239,50.0,0.0,0.0,0.0
240,240,50.0,0.0,1.0,1.0
241,241,50.0,1.0,0.0,1.0
242,242,50.0,1.0,1.0,1.0
243,243,50.0,0.0,1.0,0.0
244,244,50.0,0.0,1.0,1.0
245,245,50.0,1.0,1.0,1.0
246,246,50.0,0.0,1.0,0.0
247,247,50.0,0.0,1.0,0.0
248,248,50.0,1.0,0.0,1.0
249,249,50.0,0.0,1.0,1.0
250,250,50.0,1.0,0.0,1.0
251,251,50.0,1.0,0.0,0.0
252,252,50.0,1.0,0.0,1.0
253,253,50.0,1.0,0.0,1.0
254,254,50.0,1.0,0.0,1.0
255,255,50.0,0.0,1.0,1.0
256,256,50.0,1.0,0.0,1.0
257,257,50.0,0.0,0.0,1.0
258,258,50.0,0.0,1.0,0.0
259,259,50.0,0.0,1.0,1.0
260,260,50.0,1.0,1.0,1.0
261,261,50.0,1.0,0.0,1.0
262,262,50.0,0.0,0.0,0.0
263,263,50.0,0.0,0.0,0.0
264,264,50.0,0.0,0.0,0.0
265,265,50.0,1.0,0.0,1.0
266,266,50.0,0.0,1.0,0.0
267,267,50.0,0.0,0.0,0.0
268,268,50.0,0.0,1.0,1.0
269,269,50.0,0.0,0.0,1.0
270,270,50.0,0.0,0.0,1.0
271,271,50.0,1.0,1.0,1.0
272,272,50.0,0.0,1.0,0.0
273,273,50.0,0.0,0.0,0.0
274,274,50.0,1.0,1.0,1.0
275,275,50.0,0.0,0.0,1.0
276,276,50.0,0.0,1.0,1.0
277,277,50.0,1.0,0.0,1.0
278,278,50.0,0.0,1.0,0.0
279,279,50.0,1.0,0.0,0.0
280,280,50.0,0.0,1.0,0.0
281,281,50.0,0.0,1.0,1.0
282,282,50.0,1.0,1.0,1.0
283,283,50.0,0.0,0.0,1.0
284,284,50.0,1.0,0.0,1.0
285,285,50.0,0.0,0.0,0.0
286,286,50.0,1.0,0.0,1.0
287,287,50.0,1.0,0.0,1.0
288,288,50.0,1.0,0.0,1.0
289,289,50.0,0.0,1.0,0.0
290,290,50.0,0.0,1.0,0.0
291,291,50.0,0.0,0.0,1.0
292,292,50.0,1.0,1.0,1.0
293,293,50.0,1.0,1.0,1.0
294,294,50.0,0.0,0.0,1.0
295,295,50.0,0.0,0.0,0.0
296,296,50.0,0.0,1.0,0.0
297,297,50.0,1.0,1.0,1.0
298,298,50.0,1.0,0.0,0.0
299,299,50.0,0.0,1.0,0.0
300,300,50.0,1.0,0.0,1.0
301,301,50.0,0.0,0.0,1.0
302,302,50.0,0.0,0.0,1.0
303,303,50.0,1.0,1.0,1.0
304,304,50.0,0.0,0.0,0.0
305,305,50.0,0.0,1.0,0.0
306,306,50.0,1.0,0.0,1.0
307,307,50.0,1.0,1.0,1.0
308,308,50.0,1.0,1.0,1.0
309,309,50.0,1.0,0.0,1.0
310,310,50.0,1.0,0.0,1.0
311,311,50.0,1.0,1.0,1.0
312,312,50.0,1.0,0.0,1.0
313,313,50.0,1.0,0.0,1.0
314,314,50.0,0.0,0.0,1.0
315,315,50.0,0.0,0.0,1.0
316,316,50.0,0.0,0.0,1.0
317,317,50.0,0.0,1.0,0.0
318,318,50.0,1.0,0.0,1.0
319,319,50.0,0.0,1.0,1.0
320,320,50.0,1.0,0.0,1.0
321,321,50.0,1.0,1.0,1.0
322,322,50.0,0.0,1.0,0.0
323,323,50.0,0.0,0.0,1.0
324,324,50.0,1.0,0.0,1.0
325,325,50.0,0.0,1.0,0.0
326,326,50.0,0.0,1.0,1.0
327,327,50.0,0.0,0.0,0.0
328,328,50.0,0.0,0.0,1.0
329,329,50.0,1.0,1.0,1.0
330,330,50.0,0.0,0.0,1.0
